행정구역별(시도),가구원수,가구-계,반려동물미보유가구-계,반려동물보유가구-계,단일-계,단일-개,단일-고양이,단일-기타,복합-계,복합-개+고양이,복합-개+기타,복합-고양이+기타,복합-개+고양이+기타
전라북도,3인가구,134560,110275,24285,22725,18376,3659,690,1560,1415,104,7,34
전라북도,4인가구,96797,81229,15568,14592,10969,2653,970,976,857,50,17,52
전라북도,5인가구,28374,23233,5141,4741,3473,922,346,400,353,28,9,10
전라북도,6인가구,5496,4473,1023,910,728,154,28,113,97,3,10,3
전라북도,7인이상가구,1718,1321,397,356,276,47,33,41,32,3,-,6
전라남도,1인가구,256633,223790,32843,31113,26310,4296,507,1730,1502,194,6,28
전라남도,2인가구,251934,200699,51235,47774,42386,4721,667,3461,2912,438,22,89
전라남도,3인가구,131261,103148,28113,26087,21438,3896,753,2026,1789,129,12,96
전라남도,4인가구,87706,70900,16806,15418,11538,2869,1011,1388,1214,79,36,59
전라남도,5인가구,26597,20689,5908,5298,4113,881,304,610,557,32,1,20
전라남도,6인가구,5699,4151,1548,1315,1084,181,50,233,193,25,-,15
전라남도,7인이상가구,1688,1189,499,433,378,53,2,66,63,3,-,-
경상북도,1인가구,388791,347910,40881,38890,31335,6473,1082,1991,1698,204,50,39
경상북도,2인가구,363074,302120,60954,57310,48961,7015,1334,3644,3149,351,46,98
경상북도,3인가구,202535,164639,37896,35546,28787,5344,1415,2350,2077,165,36,72
경상북도,4인가구,137073,115028,22045,20499,15128,3672,1699,1546,1295,148,48,55
경상북도,5인가구,32892,26838,6054,5525,4058,1041,426,529,466,52,4,7
경상북도,6인가구,5885,4493,1392,1253,1020,159,74,139,138,1,-,-
경상북도,7인이상가구,1569,1132,437,394,337,52,5,43,38,5,-,-
경상남도,1인가구,417737,375658,42079,40222,30159,8934,1129,1857,1638,131,36,52
경상남도,2인가구,399789,334942,64847,61119,49410,10327,1382,3728,3323,266,68,71
경상남도,3인가구,270058,221428,48630,45875,34356,9534,1985,2755,2481,183,52,39
경상남도,4인가구,205495,172029,33466,31471,21286,7214,2971,1995,1741,146,71,37
경상남도,5인가구,47567,38918,8649,7958,5355,1836,767,691,564,80,4,43
경상남도,6인가구,7718,6308,1410,1273,885,298,90,137,132,-,-,5
경상남도,7인이상가구,1791,1376,415,344,262,63,19,71,57,2,-,12
제주특별자치도,1인가구,81855,72573,9282,8969,7011,1804,154,313,299,14,-,-
제주특별자치도,2인가구,74335,61868,12467,11874,9885,1736,253,593,575,16,2,-
제주특별자치도,3인가구,49872,40869,9003,8494,6894,1388,212,509,430,74,-,5
제주특별자치도,4인가구,38755,31996,6759,6346,4957,1062,327,413,341,21,13,38
제주특별자치도,5인가구,14446,11825,2621,2528,1940,321,267,93,66,16,-,11
제주특별자치도,6인가구,3065,2404,661,612,533,68,11,49,23,7,-,19
제주특별자치도,7인이상가구,740,581,159,131,85,28,18,28,28,-,-,-
